question,nresults,snippet,sections,link
"What is Dialogue's position on sick notes?",0,".",".","."
"What are Dialogue services?",0,".",".","."
"Should I practice social distancing? ",1,"If you do not have a cough or fever, no other specific measure needs to ... number  of clients must be limited in order to respect social distancing.","Restaurants, businesses and public spaces / For citizens returning from travelling","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/instructions-directives/"
"LP TEST question",0,".",".","."
"I'd love to know how long I can be contagious?",0,".",".","."
"Can I travel?",2,"If your condition allows you to do so and indicate that you are a traveller who has  been back for less than 14 days. You will be told how to go there ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Je fais une sarcoidose pulmonaire, je suis tu plus a risque si jamais j attrape le covid 19",0,".",".","."
"Get I get infected from a dog?",0,".",".","."
"Someone from quarantaine came to my office and stayed 20min. Is it a risk",0,".",".","."
"What is the difference between a pandemic & epidemic? Why did WHO declare this a pandemic? What is the difference between social distancing, self-isolating and quarantine? To what extent is social distancing helpful? Why should I do this? When should you self-isolate? Will the virus be less effective when we get warmer weather?  When should I go to the hospital? Should I get tested if I was in contact with someone who has or is suspected of having covid19 (but do not have any symptoms)? Should I stop taking medications that suppress my immune system?  When someone in the household is coming and going (for work), how can we keep the home a safe place? Can the virus be transmitted through Air Conditioning? (from outside or from within the home) How long does the virus last on inanimate objects (plastic, glass, cardboard, metal)? What have we learned from countries like China, South Korea and Singapore that have been dealing with this for a longer period of time and have slowed the spread?",0,".",".","."
"can I go outside",4,"Individuals who are returning from outside Canada and are in ... Do not go to  school, to work, to a childcare centre or a day care centre or to any ...","For citizens returning from travelling","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/instructions-directives/"
"Est ce que la toux est sèche ou grasse?",0,".",".","."
"Je ne me sens pas bien ",0,".",".","."
"If you start showing flu symptoms should you consult a doctor or stay home?",2,"Will parents who must take two weeks of leave because schools and ... Am I  entitled to sick leave? ... 70 years of age and over leave their homes for medical  appointments? ... What are the main symptoms associated with COVID-19? ... to  self-isolate and stay home in the coming weeks even if individuals ...","Am I entitled to sick leave? / Can elderly people 70 years of age and over leave their homes for medical appointments? / What are the main symptoms associated with COVID-19? / Will parents who must take two weeks of leave because schools and childcare services are closed continue to be paid?","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/"
"Are we all going to die?",1,"If your condition allows you to do so and indicate that you are a traveller who has  been back for less than 14 days. You will be told how to go there ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Can I go for a run? Does running/exercise compromise my immune system? ",0,".",".","."
"If I think I have symptoms of COVID19 should I go to the emergency room? ",1,"If you are worried about COVID‑19 or display symptoms such as a cough or ... Do  not go to a medical clinic unless you have first obtained an appointment. Visit the  emergency room only if you have difficulty breathing (difficulty ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Bonjour,",0,".",".","."
